"","CSF1","CSF2","CSF3","WRF1","WRF2","WRF3"
"CG5890",185.482346005115,210.665210100028,232.991789442955,219.643608499832,153.852427343062,184.192374824525
"CG5892",4.98608457002998,2.7719106592109,1.030937121429,2.8649166326065,0,0
"CG5895",0,0,0,1.90994442173767,0,0
"CG5897",0,12.9355830763175,1.030937121429,14.3245831630325,1.02568284895375,0
"CG5902",0,0,0,0,0,0
"CG5906",0,0,10.30937121429,0.954972210868833,0,0
"CG5909",16.9526875381019,54.514242964481,17.5259310642931,48.7035827543105,41.0273139581499,9.05864138481271
"CG5910",10.969386054066,22.1752852736872,9.27843409286104,14.3245831630325,13.3338770363987,21.1368298978963
"CG5913",176.507393779061,194.033746144763,150.516819728635,154.705498160751,179.494498566906,186.205406243372
"CG5916",0,2.7719106592109,0,0,0,1.00651570942363
"CG5921",18.9471213661139,9.23970219736966,9.27843409286104,17.189499795639,12.308194187445,20.1303141884727
"CG5928",5.98330148403598,2.7719106592109,0,1.90994442173767,1.02568284895375,4.02606283769454
"CG5934",297.170640373787,228.220644275031,313.404884914417,267.392219043273,253.343663691575,332.150184109799
"CG5937",0,0.923970219736966,1.030937121429,1.90994442173767,4.10273139581499,0
"CG5938",8.97495222605397,18.4794043947393,15.4640568214351,18.1444720065078,7.17977994267623,15.0977356413545
"CG5946",17.9499044521079,20.3273448342133,12.3712454571481,18.1444720065078,9.23114564058372,33.2150184109799
"CG5953",263.265265297583,671.726349748775,303.095513700127,581.578076419119,716.952311418669,74.4821624973489
"CG5958",2403.29276275445,2426.34579702927,1897.9552405508,2220.31039027004,2718.05954972743,2871.58931898563
"CG5961",0,0,0,0,0,0
"CG5966",45.8719780442758,52.6663025250071,48.4540447071632,81.1726379238508,83.0803107652535,19.123798479049
"CG5968",0,0,0,0,0,0
"CG5969",155.565838584936,162.618758673706,183.506807614363,200.544164282455,224.62454392087,256.661505903027
"CG5973",16.9526875381019,13.8595532960545,12.3712454571481,11.459666530426,12.308194187445,3.0195471282709
"CG5984",33.9053750762039,36.0348385697417,53.6087303143083,30.5591107478026,20.5136569790749,21.1368298978963
"CG5986",3.98886765602399,0,1.030937121429,0,2.05136569790749,3.0195471282709
"CG5989",0,0,0,0,0,0
"CG6000",0,0,0,0,0,0
"CG6005",0,0,0,0,1.02568284895375,0
"CG6006",11.966602968072,8.3157319776327,6.18562272857403,5.729833265213,11.2825113384912,8.05212567538907
